step temp tot_eng vol density
10500 307.191373067388 -4682.15835649405 22496.73461506 0.930832468484374
10600 304.131729077737 -4783.23743146046 22445.4292060934 0.932960150696928
10700 291.829597663734 -4805.91308504118 22395.7656020814 0.935029031230257
10800 302.019142121251 -4812.48534599947 22367.9343839105 0.936192437583194
10900 296.282535022954 -4748.46535503482 22289.192753649 0.939499749767558
11000 301.569893161431 -4694.00294333393 22202.9247753598 0.943150113169484
11100 301.961692446753 -4693.89246648427 22092.068993061 0.947882745665492
11200 294.58277850834 -4741.53030681998 22048.4828173681 0.949756551869348
11300 295.319664015457 -4778.3325551586 22074.1792303455 0.94865094625067
11400 291.970614682514 -4840.43056156427 22150.0334291491 0.945402230726049
11500 293.437688915672 -4856.97842680169 22203.0284823646 0.943145707857237
11600 298.034291010295 -4770.81888850949 22135.7823747327 0.946010882293333
11700 299.317936475828 -4723.04187133008 22087.3510155065 0.948085218543075
11800 300.82013853186 -4709.16236811218 22151.9880647454 0.945318810815943
11900 300.877056223138 -4701.00666791193 22198.4831119028 0.9433388267573
12000 304.614361595828 -4714.43873944683 22240.0066033524 0.941577553822201
12100 295.288811552494 -4779.27804786565 22285.433777634 0.939658219064621
12200 303.380162490879 -4831.36006159124 22318.7570832094 0.938255250348505
12300 294.023891125654 -4856.10255357185 22341.6445832724 0.937294071460292
12400 293.186799997236 -4820.95142026647 22379.9381907258 0.9356902970917
12500 303.095256616594 -4730.37900861883 22469.5920319206 0.931956885769242
12600 302.888357936808 -4746.1694421394 22523.2928863153 0.929734880253557
12700 296.940775112632 -4752.77947012132 22510.0294789129 0.930282700615346
12800 310.832777801669 -4730.61474119861 22444.714480472 0.932989859719246
12900 309.030943557057 -4752.11126465785 22374.061586747 0.935936058519572
13000 289.630597331942 -4827.12199786706 22360.9902196378 0.936483170418082
13100 293.628687244692 -4805.29012084152 22355.7859687459 0.936701176324101
13200 304.987040166702 -4736.15719899142 22254.9395281844 0.940945761189516
13300 307.855196730722 -4730.42341445037 22144.3644427084 0.945644254941325
13400 296.212437559296 -4780.62787919168 22143.3376211208 0.945688105961064
13500 297.083443442462 -4797.24179301038 22204.6140089662 0.943078362277242
13600 311.27181674182 -4743.20906167635 22156.5262514369 0.945125186905871
13700 309.573271865297 -4663.28755172783 22089.6231124604 0.947987700286374
13800 306.791697971539 -4681.93781144289 22107.4067066658 0.947225121988647
13900 299.487759018844 -4730.4669861135 22130.3600015843 0.946242673552306
14000 302.735282632019 -4761.59699737979 22173.5668097394 0.944398850859495
14100 296.141347178753 -4794.19274445573 22225.3264330725 0.94219948029259
14200 301.202568760859 -4783.58326659235 22230.4702709788 0.941981467747514
14300 305.220896083608 -4699.39636680051 22226.947486898 0.942130763881001
14400 303.776340914925 -4704.24260709657 22308.2270076695 0.938698131741925
14500 304.82426691777 -4729.92082636337 22432.0114113058 0.933518204436181
14600 298.727229655691 -4750.4972450684 22592.6873394524 0.926879157841771
14700 290.075132345273 -4727.86801141692 22741.9895576789 0.920794153100095
14800 306.529737855497 -4675.73716244767 22804.2865273968 0.918278718758256
14900 299.657770115277 -4689.36403928093 22800.5468965413 0.918429330208334
15000 306.183255761453 -4710.02315275722 22722.9468923245 0.921565812471605
