step temp tot_eng v_Lcnt v_Fcnt
0 300 3412.16981473263 55.472 -224.394250839669 
100 221.77335788191 3476.63853925956 55.472 -318.038601558468 
200 253.580093362814 3568.41860213324 55.472 45.5236195277985 
300 282.186407241049 3663.06432275202 55.472 -165.78662119243 
400 285.656273034353 3748.17025393558 55.472 -177.773096625162 
500 304.869322942649 3808.46055810365 55.472 34.1760672071132 
600 323.828023243105 3825.93708514175 55.472 -135.594037953972 
700 311.926860216756 3791.1429257802 55.472 36.8507156544596 
800 285.864140678106 3741.48350567027 55.472 -47.2978460189993 
900 275.984844728217 3723.57142221384 55.472 -79.8532045252734 
1000 291.963282517161 3749.13694591991 55.472 -186.60235105478 
1100 295.038690907016 3788.16930861388 55.472 155.831220531147 
1200 305.629761090932 3803.14665898435 55.472 -197.524552420649 
1300 293.988100514545 3780.90380883793 55.472 -73.7521618062373 
1400 303.597033928594 3751.8769965585 55.472 -124.232968335506 
1500 297.232101050848 3737.10843661353 55.472 -133.086508997098 
1600 297.652052685339 3751.25462534164 55.472 -185.10850065445 
1700 306.381257221701 3794.2555057868 55.472 -137.887140416383 
1800 310.96873608156 3798.77092681627 55.472 -238.411576007269 
1900 310.124082071626 3779.18571081444 55.472 -203.637691856492 
2000 288.904839782745 3764.45136062235 55.472 -67.0543157243187 
2100 294.541892322189 3762.73857725541 55.472 -87.4981494648932 
2200 292.973789483994 3767.62415503951 55.472 -168.238529756672 
2300 296.455886995022 3766.10913442444 55.472 5.27521722538299 
2400 305.590989798657 3768.5563334793 55.472 -64.8993385720879 
2500 309.092236484873 3773.68632640309 55.472 -163.550086812701 
2600 294.826634103348 3786.33352462126 55.472 15.6518254027521 
2700 300.938722291889 3779.91012917254 55.472 -169.746213940567 
2800 295.867255402158 3749.10225267511 55.472 -142.227638352032 
2900 294.347473639962 3735.52433950204 55.472 -86.1221528877372 
3000 295.460185273257 3769.66052806582 55.472 -239.819638516049 
3100 301.558377104867 3805.12045782344 55.472 -115.461357552656 
3200 302.932507849255 3791.17561030783 55.472 -90.2104291508983 
3300 300.205781400696 3767.12219101676 55.472 -253.679868841918 
3400 308.90326894636 3751.70475599304 55.472 -248.113550639518 
3500 287.04560332988 3755.63047203536 55.472 -58.4524557122084 
3600 312.745708723408 3814.17208939774 55.472 -160.329334870625 
3700 306.20479396442 3829.32996056215 55.472 -216.655007310684 
3800 301.580178493297 3792.45815438998 55.472 -93.8628806903287 
3900 310.428202149117 3764.67630737274 55.472 -133.21932641089 
4000 299.530963823213 3752.15817078743 55.472 -316.983733423614 
4100 299.840271060601 3759.25421062552 55.472 -56.4050476820249 
4200 308.782628973328 3805.58418263698 55.472 56.7458563326384 
4300 316.760830783359 3818.9446323785 55.472 -325.789422753722 
4400 293.795006832813 3788.36976448521 55.472 30.4554702388928 
4500 303.371877472006 3771.93812233664 55.472 -13.1461677378372 
4600 296.41388801409 3763.83262447713 55.472 -207.083712930792 
4700 297.997669282992 3756.54912239686 55.472 -169.210581219195 
4800 291.460536186125 3757.46353202442 55.472 -227.74366776762 
4900 285.951946457025 3784.50623041301 55.472 -205.643760318934 
5000 304.562431086577 3805.71885312714 55.472 -79.8535060451501 
5000 304.562431086577 3805.71885312714 55.472 -79.8535060451501 
5100 316.946089709429 3799.62841557331 55.5719999999998 -336.024798737007 
5200 307.584615910352 3765.65768941568 55.6719999999995 -331.046552412553 
