step temp tot_eng vol density press nO
12500 301.535072681234 7.45781637249173 12895.8536143466 1.97977324435841 2213.86304348289 53
12600 309.895129712841 8.49762909697393 12895.8536143466 1.97977324435841 2215.47421905314 53
12700 305.586748245542 8.26305486928448 12895.8536143466 1.97977324435841 2086.98989581089 53
12800 308.126703375928 7.86909955672758 12895.8536143466 1.97977324435841 1961.39959802887 53
12900 305.399990920527 7.2250268651797 12895.8536143466 1.98209300338891 1915.17619621786 54
13000 303.258557668644 6.9077936806197 12895.8536143466 1.98209300338891 2290.38597504758 54
13100 301.18104573578 6.88051601874051 12895.8536143466 1.98209300338891 2197.9587454213 54
13200 301.890169176603 7.090732869391 12895.8536143466 1.98441276241942 1946.76205721536 55
13300 303.181460087508 7.2243115852373 12895.8536143466 1.98441276241942 2262.68738624105 55
13400 296.359755029569 6.39340995116424 12895.8536143466 1.98441276241942 1992.81800959962 55
13500 300.765472228208 6.28615472484822 12895.8536143466 1.98441276241942 1826.65020395177 55
13600 302.431437270029 6.70509387440043 12895.8536143466 1.98441276241942 1566.19549044516 55
13700 306.531132033228 7.29744013115302 12895.8536143466 1.98441276241942 2059.45628270191 55
13800 307.932909306535 7.15891320111902 12895.8536143466 1.98441276241942 1809.52731548547 55
13900 301.308711136303 6.76170073826216 12895.8536143466 1.98441276241942 1811.28960429717 55
14000 301.297879633615 6.48221385107381 12895.8536143466 1.98441276241942 2202.96598858599 55
14100 301.02809459503 5.96404519118462 12895.8536143466 1.98441276241942 2330.39402686753 55
14200 298.850485852891 5.56270761821207 12895.8536143466 1.98441276241942 2297.73736970292 55
14300 298.594349168092 5.82261883151727 12895.8536143466 1.98441276241942 1941.44928768869 55
14400 301.486220828993 6.71093160285409 12895.8536143466 1.98441276241942 2004.44246468091 55
14500 308.488094536142 6.8928774175392 12895.8536143466 1.98441276241942 2288.61647468705 55
14600 302.725151945035 6.49446804812091 12895.8536143466 1.98441276241942 2280.01414101935 55
14700 306.418270717684 6.12114322793042 12895.8536143466 1.98441276241942 1655.82258638947 55
14800 304.467002111852 5.44010072517948 12895.8536143466 1.98441276241942 1809.44394704862 55
14900 297.322519363877 5.02765832290641 12895.8536143466 1.98441276241942 1769.14880731276 55
15000 302.927679459267 5.30515014455256 12895.8536143466 1.98441276241942 1833.65267137191 55
15100 301.443565305017 5.72889221529214 12895.8536143466 1.98441276241942 2108.85341164753 55
15200 300.880388852021 6.11828917138741 12895.8536143466 1.98441276241942 2198.48657615826 55
15300 303.842681410322 6.33347367389309 12895.8536143466 1.98441276241942 2218.26397476787 55
15400 307.132772568493 6.33669893017856 12895.8536143466 1.98673252144992 2137.3257493246 56
15500 299.673716851128 5.34598212533518 12895.8536143466 1.98673252144992 2107.782721827 56
15600 301.873030206851 5.05657721322489 12895.8536143466 1.98673252144992 2249.48904035872 56
15700 303.800494158022 5.04408982884296 12895.8536143466 1.99137203951094 2143.81235932184 58
15800 302.695828487823 4.83465812456974 12895.8536143466 1.99137203951094 2279.86351026662 58
15900 302.23794565827 4.3197257897499 12895.8536143466 1.99137203951094 2241.4555212145 58
16000 298.390080582393 3.85820499028232 12895.8536143466 1.99137203951094 2089.32697864941 58
16100 301.016122219197 4.49204087944347 12895.8536143466 1.99137203951093 2067.22547643088 58
16200 304.645850755039 5.12020724528825 12895.8536143466 1.99137203951093 2062.24717825788 58
16300 305.244568752833 5.50989435354386 12895.8536143466 1.99137203951093 2257.38430322249 58
16400 303.060548134899 5.63228561263235 12895.8536143466 1.99137203951093 2097.07449139748 58
16500 299.931648933062 4.97353314721681 12895.8536143466 1.99137203951093 2280.81720836625 58
16600 300.161464845747 4.6289025066621 12895.8536143466 1.99137203951093 2412.40662813877 58
16700 305.887792118932 4.71999886334291 12895.8536143466 1.99137203951093 1735.73777741204 58
16800 303.208522908183 4.96138858092569 12895.8536143466 1.99369179854144 2075.74500335912 59
16900 306.760413049067 5.62030239895186 12895.8536143466 1.99369179854144 2446.59116808234 59
17000 308.245222167301 6.17883037063473 12895.8536143466 1.99601155757195 2304.20501949763 60
17100 301.200308699043 5.31136766092524 12895.8536143466 1.99601155757195 2199.2726509165 60
17200 303.218119397482 4.82214938326063 12895.8536143466 1.99601155757195 2312.02332767452 60
17300 307.854608066446 4.35164647817383 12895.8536143466 1.99601155757195 2138.77794844659 60
17400 303.632421509529 3.95531891571981 12895.8536143466 1.99601155757195 2114.34008280999 60
17500 297.120004774367 3.79545436528946 12895.8536143466 1.99601155757195 2440.56166399404 60
17600 304.351326134945 4.29650421583942 12895.8536143466 1.99601155757195 2349.06868203627 60
17700 305.324026128251 4.96608570054557 12895.8536143466 1.99601155757195 2518.86779598027 60
17800 304.209555085627 4.87151229589479 12895.8536143466 1.99601155757195 2092.3433518756 60
17900 298.702722548905 4.21871071881502 12895.8536143466 1.99601155757195 2298.30749202753 60
18000 300.105024834405 3.80790286819084 12895.8536143466 1.99601155757195 2664.82345642124 60
18100 300.108861643097 3.84166027001064 12895.8536143466 1.99601155757195 2734.12430062422 60
18200 302.1535917208 3.84129757984301 12895.8536143466 1.99601155757195 2367.16414950772 60
18300 300.974727456028 3.86778694017067 12895.8536143466 1.99601155757195 2547.17796911277 60
18400 303.014498772909 3.80786566411812 12895.8536143466 1.99601155757195 2153.70440626283 60
18500 304.236106816432 3.59143608869292 12895.8536143466 1.99601155757195 2323.81928226601 60
18600 301.902690790216 2.90748359588309 12895.8536143466 1.99601155757195 2173.73947824281 60
18700 300.789308344482 2.24495447551523 12895.8536143466 1.99601155757195 2002.37999789015 60
18800 298.630845420285 2.56825955418386 12895.8536143466 1.99601155757195 2407.15960708345 60
18900 302.073651630659 3.13066575229815 12895.8536143466 1.99601155757195 2352.403067686 60
19000 301.24083819412 3.46208257526452 12895.8536143466 1.99601155757195 2121.76795561194 60
19100 300.763179215318 3.80304303738494 12895.8536143466 1.99601155757195 2310.53509225348 60
19200 305.288271328025 4.16530862311946 12895.8536143466 1.99601155757195 2427.94078032847 60
19300 309.350394068908 4.50760873225417 12895.8536143466 1.99601155757195 2057.51272327109 60
