step temp pot_eng kin_eng tot_eng press v_n1_in v_n2_in c_sumcoor12
0 0.999999999999999 -1.26640673191189 1.49862258953168 0.232215857619793 0.0168139565491189 0 127 0.0467775467775468
1000 0.987139912388355 -0.366067617394286 1.47935017173351 1.11328255433923 0.0171690158481752 18 124 0.0124740124740125
2000 1.02449435671834 -0.273688339463451 1.53533038582584 1.26164204636238 0.0160874086882215 26 122 0.0114345114345114
3000 1.00904267009417 -0.264904819305532 1.51217413920448 1.24726931989895 0.0163903330304898 34 123 0.0103950103950104
4000 1.00327135671807 -0.262677605917257 1.50352511860779 1.24084751269054 0.0166150290923807 37 122 0.0135135135135135
5000 1.00763213928548 -0.247636974601786 1.51006028587136 1.26242331126957 0.0159403407185716 45 121 0.0051975051975052
6000 1.03755840153355 -0.232705566783081 1.55490845849656 1.32220289171348 0.0173490842810918 49 118 0.0197505197505198
7000 1.01189649027402 -0.225790769293656 1.51645093859247 1.29066016929881 0.0170663344050238 43 117 0.00935550935550936
8000 1.0006278316793 -0.213091170954137 1.4995634722687 1.28647230131456 0.0166462293657119 45 116 0.0155925155925156
9000 0.974403573568832 -0.207737069811934 1.46026320667065 1.25252613685871 0.0159383607077751 48 115 0.0124740124740125
10000 1.0027880107222 -0.209419205034401 1.50280076537982 1.29338156034542 0.0167317199232791 44 114 0.0103950103950104
11000 0.987094452109643 -0.20354177219021 1.47928204393291 1.2757402717427 0.0161306111776913 46 114 0.0135135135135135
12000 1.03054923676789 -0.217737842996532 1.544404365845 1.32666652284846 0.0173523907358895 51 113 0.0124740124740125
13000 0.997852209704942 -0.220136643579952 1.49540386247793 1.27526721889798 0.0167943493560721 48 112 0.00831600831600832
14000 0.947588931170858 -0.21823747293837 1.42007817784283 1.20184070490446 0.0154976154097857 51 113 0.00935550935550936
15000 0.980354447483854 -0.209364376515691 1.46918132074715 1.25981694423146 0.0164350522605428 56 113 0.0114345114345114
16000 0.972122848936296 -0.207887158487696 1.45684526121583 1.24895810272813 0.0159594385377693 59 112 0.0124740124740125
17000 1.04359037933559 -0.208322736424863 1.56394811669026 1.35562538026539 0.0175645103548742 65 111 0.0207900207900208
18000 0.949888214941232 -0.205639006641794 1.42352393644085 1.21788492979906 0.0151590309799552 66 110 0.0145530145530146
19000 0.998552966848191 -0.202310349701793 1.49645403296258 1.29414368326079 0.0169493335542293 66 110 0.0197505197505198
20000 0.958069416089758 -0.181602324593909 1.43578446929154 1.25418214469763 0.0166714147139029 68 110 0.0176715176715177
21000 0.986234215231639 -0.195301316527889 1.47799287351518 1.28269155698729 0.0164157211021994 79 107 0.0249480249480249
22000 1.02982487469738 -0.212974768625134 1.54331882048313 1.33034405185799 0.0169058491070712 77 107 0.0124740124740125
23000 1.01602490494323 -0.217845318208118 1.52263787407471 1.30479255586659 0.016193661439273 81 102 0.0249480249480249
24000 0.999420167803817 -0.210100309585191 1.49775363990434 1.28765333031915 0.016403855992214 75 109 0.0239085239085239
25000 1.00508473086291 -0.219059325045378 1.50624268206453 1.28718335701915 0.0154451961069002 77 106 0.0228690228690229
26000 1.00719215053027 -0.203840998430792 1.50940090878365 1.30555991035286 0.0162262155865913 82 106 0.0135135135135135
27000 1.04407369226014 -0.214067480173221 1.56467242035679 1.35060494018357 0.0179632953017538 78 106 0.0155925155925156
28000 0.987352097595352 -0.205247270560428 1.47966815727788 1.27442088671745 0.0162395524950962 78 106 0.0114345114345114
29000 0.986501583278411 -0.221742967926962 1.47839355730979 1.25665058938283 0.016104491901349 82 105 0.0187110187110187
30000 0.990329753376193 -0.209875615061018 1.4841305394949 1.27425492443388 0.015714054642993 78 106 0.0249480249480249
31000 1.01123333497995 -0.204646118349543 1.5154571190884 1.31081100073886 0.0161171424288618 80 104 0.0176715176715177
32000 1.02878355250857 -0.209054296530463 1.54175827152799 1.33270397499753 0.0168915032563368 86 104 0.0239085239085239
33000 1.0411520679649 -0.209865380457959 1.56029400818982 1.35042862773186 0.016799511391884 96 103 0.0218295218295218
34000 0.960110035526908 -0.19682492161741 1.43884258767669 1.24201766605928 0.0165963502641453 101 103 0.0166320166320166
35000 0.987608546551295 -0.202892615261429 1.48005247747632 1.27715986221489 0.0147483924872152 104 103 0.0249480249480249
36000 1.02007113920808 -0.216535509282239 1.52870165214655 1.31216614286431 0.0153790128639051 99 102 0.0155925155925156
37000 0.985092659482947 -0.213589731365324 1.47628211228298 1.26269238091766 0.0159936633778605 100 101 0.0239085239085239
38000 1.01102271880573 -0.208561906282961 1.515141484932 1.30657957864904 0.0164150553152336 101 102 0.0207900207900208
39000 1.03093988928837 -0.232001661725603 1.54498980653684 1.31298814481123 0.0166422783875482 107 100 0.0280665280665281
40000 0.988211079245284 -0.211562650238736 1.48095544658246 1.26939279634373 0.016327125520457 107 103 0.0322245322245322
41000 1.0113362399668 -0.215538014908106 1.51561133482629 1.30007331991818 0.0153441921518474 113 105 0.0197505197505198
42000 1.02931114916788 -0.199236665555154 1.5425489397998 1.34331227424465 0.0160865176038902 107 104 0.0291060291060291
43000 0.972451022626817 -0.21540126686977 1.45733706972173 1.24193580285196 0.0146185221607799 105 106 0.0353430353430353
44000 1.02298282486741 -0.215831556379633 1.53306517004924 1.31723361366961 0.0164130140688045 103 102 0.0301455301455301
45000 1.04259114657375 -0.209493983487772 1.56245064390116 1.35295666041339 0.0164439543610695 108 105 0.027027027027027
46000 0.988850375085401 -0.211356948358537 1.48191350976986 1.27055656141132 0.0155945741684212 104 101 0.0197505197505198
47000 1.02862691539677 -0.213076398201656 1.54152353161389 1.32844713341224 0.0162123816294643 103 97 0.0311850311850312
48000 0.983429163368564 -0.219360532702376 1.47378915942837 1.254428626726 0.0162411001609937 109 98 0.0249480249480249
49000 0.991640199020375 -0.203672684061698 1.48609440293963 1.28242171887793 0.01582181515136 104 98 0.027027027027027
50000 0.994007994522843 -0.214836697481222 1.48964283476702 1.27480613728579 0.0151845576916457 104 98 0.0249480249480249
51000 0.98628951076835 -0.194948369319931 1.4780757406556 1.28312737133567 0.015453202849694 108 99 0.0332640332640333
52000 0.953973418580266 -0.2224333360107 1.42964611489715 1.20721277888645 0.0146266376179084 102 97 0.0249480249480249
53000 0.983356823706746 -0.193172403677645 1.47368074957705 1.28050834589941 0.0155874822962767 106 96 0.0280665280665281
54000 1.04534257981664 -0.186759959426561 1.56657400391253 1.37981404448597 0.0174889138810078 103 95 0.0291060291060291
55000 1.02262632036186 -0.206732334720579 1.53253090434395 1.32579856962337 0.0159306651172979 107 92 0.0353430353430353
56000 1.02920147848617 -0.213277434318832 1.54238458483878 1.32910715051994 0.017107131524937 110 95 0.0291060291060291
57000 0.988324847523227 -0.214211287494503 1.48112594229376 1.26691465479926 0.0157782437532149 110 93 0.0343035343035343
58000 0.991734099781671 -0.219584852869735 1.48623512474168 1.26665027187194 0.016169599035027 117 92 0.0374220374220374
59000 1.01748445812606 -0.213883270544325 1.52482519344512 1.31094192290079 0.0167894130953301 123 92 0.0363825363825364
60000 1.02037562668365 -0.196060523457889 1.52915796395567 1.33309744049778 0.0173605774753278 123 90 0.0384615384615385
61000 1.00139969763832 -0.208520533163314 1.50072020803098 1.29219967486767 0.0161429517999695 120 91 0.0363825363825364
62000 1.01753878474416 -0.219945657530123 1.52490660854222 1.30496095101209 0.0156240630324059 121 91 0.0291060291060291
63000 0.995196263991166 -0.215118002632417 1.4914236022347 1.27630559960228 0.0155989703291064 118 92 0.0384615384615385
64000 1.00688505943772 -0.218400741166069 1.50894069513531 1.29053995396924 0.0171024533122859 117 90 0.0332640332640333
65000 0.963248991423569 -0.216149883840546 1.44354669789097 1.22739681405042 0.0152065657073724 121 92 0.0280665280665281
66000 0.980116889703384 -0.212592558480528 1.46882531129102 1.25623275281049 0.0154041590998553 125 90 0.0332640332640333
67000 0.984866250653905 -0.204147013872129 1.47594281089731 1.27179579702518 0.0164840423442624 122 91 0.0374220374220374
68000 0.987878627255987 -0.224695110686953 1.48045722652137 1.25576211583442 0.0165434654429418 117 92 0.0415800415800416
69000 1.00488007665095 -0.214787913085102 1.50593598263945 1.29114806955434 0.0172673928809601 113 93 0.0384615384615385
70000 0.992549977721082 -0.231581462818024 1.48745781785198 1.25587635503395 0.0160421496172425 116 91 0.0509355509355509
71000 1.05267200471255 -0.23650955662278 1.57755804562983 1.34104848900705 0.0162090065757032 121 92 0.0332640332640333
72000 1.01881169034468 -0.204943410881948 1.52681421362949 1.32187080274754 0.0170565674167252 118 91 0.0343035343035343
73000 0.969566783170078 -0.216563255626062 1.45301468331824 1.23645142769218 0.016072527129225 124 93 0.0374220374220374
74000 1.0028648137936 -0.221052693823761 1.50291586419757 1.28186317037381 0.0164775620894959 135 93 0.0436590436590437
75000 1.00803142456219 -0.224960729541481 1.5106586638067 1.28569793426521 0.0154318559208996 137 92 0.0426195426195426
76000 0.984294934680956 -0.212363130549196 1.47508662387449 1.26272349332529 0.0164293103152502 135 88 0.0291060291060291
77000 1.03444560825112 -0.228466243174659 1.55024355616697 1.32177731299231 0.016878406004095 137 87 0.0395010395010395
78000 1.00612511543395 -0.210200944507904 1.50780182588449 1.29760088137658 0.0173288272832471 133 87 0.051975051975052
79000 0.996259342828536 -0.221419048764548 1.49301675619483 1.27159770743028 0.0152638631607854 142 85 0.0343035343035343
